,ari,sim_W,sim_W_null,tuning_metric,run,split,sim_id,job_id,sim_H_G,sim_H_G_null,sim_U_G,sim_U_G_null,sim_H_C,sim_H_C_null,sim_U_C,sim_U_C_null,rel_error_G,rel_error_C,coph_corr,run_name,lambda_option,rZ,unobs_conf,out_path
0,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,7,,,,,,,,,,,,MVBC,0.0,0.1,False,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_7
1,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,9,,,,,,,,,,,,MVBC,0.01,0.1,False,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_9
2,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,10,,,,,,,,,,,,MVBC,0.1,0.1,False,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_10
3,0.0010223304434332232,0.33921594361133967,0.3050494607347644,-0.0010223304434332232,0,tune,1,11,,,,,,,,,,,,MVBC,1.0,0.1,False,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_11
4,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,8,,,,,,,,,,,,MVBC,0.001,0.1,False,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_8
5,0.06954518361043051,0.5525228104976383,0.44144570554567575,1.1279127552291914,0,tune,2,17,0.35356939971205215,0.260767743084481,0.49433400570603697,0.3723367330652899,0.48095868025213445,0.32021576081225483,0.22796104205255877,0.18781206242121157,0.5082184252077712,0.6196943300214202,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
6,0.35586729632821856,0.7184438087353324,0.4430614171017286,1.0627522086481616,1,tune,2,17,0.2819374407641098,0.2851332051398372,0.54939759881579,0.3937544738343113,0.7638357585052241,0.35545697110954144,0.569315740770076,0.1997134485194558,0.5061515810377265,0.556600627610435,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
7,0.22760751855860883,0.599311374208905,0.43202569312991573,1.1010007776451016,2,tune,2,17,0.3359943009782341,0.2799089428794592,0.6209763579237714,0.3319421913279127,0.6668053047655969,0.3184827549394864,0.5585619451985506,0.255049376481322,0.5000059313997437,0.6009948462453578,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
8,0.33852359113713487,0.7204571658068369,0.44081184854427735,1.0626137559815403,3,tune,2,17,0.2853294019082153,0.27311010834101623,0.5702642525428894,0.40377274337353947,0.7758888714945896,0.37765763545775627,0.6814951514266797,0.2058472047071845,0.5074720514477454,0.5551417045337949,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
9,0.35461926566369273,0.7075894332960792,0.4399531265774651,1.0651855278535145,4,tune,2,17,0.31316791445596626,0.2752664719820044,0.5651457326423396,0.41015138533945217,0.7530072589217638,0.3437448680767852,0.5834492358958764,0.21701010294065934,0.5047300481349439,0.5604554797185706,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
10,0.36376688635708776,0.7060194214878107,0.4355864362603416,1.065016125352127,5,tune,2,17,0.28470607359977534,0.2536923888289331,0.5610663857130052,0.3939453011964137,0.7420659745845755,0.35963098589525067,0.5605769242008988,0.1996750756454635,0.5040529945089931,0.560963130843134,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
11,0.36456908467640176,0.733017622743033,0.43631452449664737,1.061365549693342,6,tune,2,17,0.30034481674715446,0.26010061995904293,0.5747005008730739,0.3842552477101836,0.7863212558358371,0.37565706510320074,0.6709813400322077,0.18569160683173977,0.5086367674311706,0.5527287822621715,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
12,0.1437439248804531,0.5875613607685474,0.4357886127240607,1.1033897695308688,7,tune,2,17,0.3024894584899805,0.277424596712553,0.6435326965805399,0.3611584068352174,0.6518911545906227,0.3173565912747744,0.5825577982578422,0.19422401863716135,0.5181136622850467,0.5852761072458221,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
13,0.34088150274842427,0.7105655454745965,0.4390108957003783,1.0657814992860792,8,tune,2,17,0.2844796681439804,0.26072207894315974,0.5494976992647443,0.40977891671,0.7246521756206149,0.3590360462112416,0.6267239979663157,0.1809049801341881,0.5050343015340152,0.560747197752064,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
14,0.4010425110706729,0.744585456338858,0.43043988422784557,1.05182542573261,9,tune,2,17,0.3102655376088025,0.25682879736426,0.6612242598193329,0.35236853032909243,0.8243578561814371,0.3312843784652373,0.7217868725471932,0.1737750291608784,0.5127419912936059,0.5390834344390041,0.9675371234458267,SCoNE,0.0,0.2,True,/home/jupyter/repos/SCoNE/output/models/rZ_unobs/tune_17
